month	day	year	mm precip
11	24	2010	0.8
11	25	2010	0.0
11	26	2010	0.0
11	27	2010	231.2
11	28	2010	681.5
11	29	2010	1927.4
11	30	2010	2.3
12	01	2010	1031.2
12	02	2010	2792.6
12	03	2010	1181.7
12	04	2010	2771.7
12	05	2010	3586.0
12	06	2010	392.8
12	07	2010	1751.0
12	08	2010	2002.2
12	09	2010	2148.3
12	10	2010	1127.8
12	11	2010	172.1
12	12	2010	18476.8
12	13	2010	1037.9
12	14	2010	859.1
12	15	2010	368.6
12	16	2010	1.5
12	18	2010	1204.5
12	19	2010	11416.3
12	20	2010	8641.3
12	21	2010	6.3
12	22	2010	0.0
12	23	2010	52.5
12	24	2010	0.3
12	25	2010	991.5
12	26	2010	1978.2
12	27	2010	7189.2
12	28	2010	22510.0
12	29	2010	29627.8
12	30	2010	102.6
12	31	2010	475.6
01	01	2011	1.5
01	02	2011	30345.2
01	03	2011	12517.6
01	04	2011	6850.9
01	05	2011	6079.3
01	06	2011	22749.4
01	07	2011	888.7
01	08	2011	3.8
01	09	2011	311.7
01	10	2011	8088.7
01	11	2011	46160.9
01	12	2011	216.1
01	13	2011	2222.4
01	14	2011	5329.7
01	15	2011	2552.1
01	16	2011	927.5
01	17	2011	6544.3
01	18	2011	5839.9
01	19	2011	12618.0
01	20	2011	20398.8
01	21	2011	15949.8
01	22	2011	40733.9
01	23	2011	28953.6
01	24	2011	11381.9
01	25	2011	36787.5
01	26	2011	3917.6
01	27	2011	2405.2
01	28	2011	5.8
01	29	2011	595.9
01	30	2011	2995.1
01	31	2011	54649.9
02	01	2011	3415.7
02	02	2011	1985.8
02	03	2011	825.9
02	04	2011	1.3
02	05	2011	3479.5
02	06	2011	56.8
02	07	2011	9945.4
02	08	2011	218.8
02	09	2011	905.2
02	10	2011	1929.6
02	11	2011	3.3
02	12	2011	10456.9
02	13	2011	44943.1
02	14	2011	4228.0
02	15	2011	4215.5
02	16	2011	13511.1
02	17	2011	7103.7
02	18	2011	10.9
02	19	2011	12572.2
02	20	2011	349.6
02	21	2011	1238.1
02	22	2011	1.3
02	23	2011	0.0
02	24	2011	916.4
02	25	2011	5.8
02	26	2011	960.7
02	27	2011	1.5
02	28	2011	0.0
03	01	2011	1656.9
03	02	2011	223.3
03	03	2011	9751.3
03	04	2011	516.4
03	05	2011	0.3
03	06	2011	0.0
03	07	2011	0.0
03	08	2011	0.0
03	09	2011	2182.7
03	10	2011	1779.6
03	11	2011	575.0
03	12	2011	167.1
03	13	2011	0.5
03	14	2011	181.2
03	15	2011	14.7
03	16	2011	0.3
03	17	2011	0.0
03	18	2011	1247.6
03	19	2011	279.9
03	20	2011	5.3
03	21	2011	4337.9
03	22	2011	8473.5
03	23	2011	831.2
03	24	2011	2.3
03	25	2011	0.0
03	26	2011	1310.0
03	27	2011	3581.7
03	28	2011	5342.8
03	29	2011	1105.3
03	30	2011	3.0
03	31	2011	23277.5
04	01	2011	1756.6
04	02	2011	29118.5
04	03	2011	8876.3
04	04	2011	7.9
04	05	2011	7.3
04	06	2011	1.0
04	07	2011	117.0
04	08	2011	0.3
04	09	2011	1515.4
04	10	2011	2260.2
04	11	2011	174.5
04	12	2011	0.3
04	13	2011	0.0
04	14	2011	0.0
04	15	2011	0.0
04	16	2011	0.0
04	17	2011	0.0
04	18	2011	611.9
04	19	2011	0.5
04	20	2011	0.0
04	21	2011	8457.0
04	22	2011	564.2
04	23	2011	303.3
04	24	2011	479.3
04	25	2011	265.7
04	26	2011	625.4
04	27	2011	4583.1
04	28	2011	6006.3
04	29	2011	14480.6
04	30	2011	24.3
05	01	2011	875.0
05	02	2011	18075.0
05	03	2011	31.0
05	04	2011	0.0
05	05	2011	0.0
05	06	2011	0.0
05	07	2011	0.0
05	08	2011	13506.4
05	09	2011	13669.1
05	10	2011	20.8
05	11	2011	14778.4
05	12	2011	25.9
05	13	2011	158.1
05	14	2011	607.0
05	15	2011	1.0
05	16	2011	220.2
05	17	2011	1556.9
05	18	2011	1430.9
05	19	2011	285.3
05	20	2011	0.3
05	21	2011	0.0
05	22	2011	740.7
05	23	2011	4.8
05	24	2011	0.0
05	25	2011	256.3
05	26	2011	1549.9
05	27	2011	2.0
05	28	2011	1158.7
05	29	2011	415.8
05	30	2011	14.2
05	31	2011	0.3
06	01	2011	0.0
06	02	2011	0.0
06	03	2011	5131.8
06	04	2011	806.4
06	05	2011	1093.4
06	06	2011	0.8
06	07	2011	0.0
06	08	2011	0.0
06	09	2011	5393.2
06	10	2011	8417.8
06	11	2011	4080.2
06	12	2011	19.8
06	13	2011	0.0
06	14	2011	0.0
06	15	2011	0.0
06	16	2011	0.0
06	17	2011	0.0
06	18	2011	0.0
06	19	2011	0.0
06	20	2011	113.4
06	21	2011	9847.6
06	22	2011	2054.3
06	23	2011	436.1
06	24	2011	183.4
06	25	2011	2138.0
06	26	2011	1.8
06	27	2011	0.0
06	28	2011	0.0
06	29	2011	1079.0
06	30	2011	99.6
07	01	2011	0.5
07	02	2011	0.0
07	03	2011	0.0
07	04	2011	107.5
07	05	2011	17.6
07	06	2011	7866.3
07	07	2011	8.6
07	08	2011	0.0
07	09	2011	0.0
07	10	2011	2019.3
07	11	2011	2.5
07	12	2011	1451.7
07	13	2011	633.9
07	14	2011	6513.0
07	15	2011	7.1
07	16	2011	0.0
07	17	2011	78.3
07	18	2011	0.3
07	19	2011	0.0
07	20	2011	4512.8
07	21	2011	2186.7
07	22	2011	46.8
07	23	2011	0.3
07	24	2011	0.0
07	25	2011	72.3
07	26	2011	0.8
07	27	2011	5107.5
07	28	2011	4335.6
