Storm#,Start,End,duration(hrs),sep from,LBJ Q %,LBJ SSC %,LBJ SSC source,LBJ SSC grab #,QUARRY SSC %,QUARRY SSC source,QUARRY SSC grab #,DAM Q %,DAM SSC %,DAM SSC source,DAM SSC grab #
155,2014-03-06 13:15:00,2014-03-06 18:15:00,5.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
156,2014-03-06 19:30:00,2014-03-07 12:30:00,17.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
157,2014-03-13 10:30:00,2014-03-14 00:00:00,13.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
158,2014-03-14 00:45:00,2014-03-14 13:15:00,12.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
159,2014-03-14 18:00:00,2014-03-15 00:30:00,6.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
160,2014-03-23 19:45:00,2014-03-24 02:45:00,7.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
161,2014-03-24 06:30:00,2014-03-24 12:00:00,5.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
162,2014-03-28 15:30:00,2014-03-28 22:45:00,7.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
163,2014-04-01 08:15:00,2014-04-01 14:30:00,6.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
164,2014-04-01 16:15:00,2014-04-01 23:00:00,6.75,LBJ PT,0.0,0.0,,0,0.0,,0,0.0,100.0,Turb.,0
165,2014-04-06 10:00:00,2014-04-06 23:45:00,13.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
166,2014-04-08 13:45:00,2014-04-09 00:45:00,11.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
167,2014-04-09 20:45:00,2014-04-10 11:45:00,15.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
168,2014-04-11 08:00:00,2014-04-11 18:45:00,10.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
169,2014-04-16 15:30:00,2014-04-16 18:15:00,2.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
170,2014-04-17 03:00:00,2014-04-17 13:00:00,10.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
171,2014-04-17 14:00:00,2014-04-18 03:15:00,13.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
172,2014-04-18 18:30:00,2014-04-19 04:45:00,10.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
173,2014-04-19 05:45:00,2014-04-19 21:00:00,15.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
174,2014-04-19 22:45:00,2014-04-20 15:45:00,17.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
175,2014-04-25 12:00:00,2014-04-26 04:30:00,16.5,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,0.0,,0
176,2014-04-26 09:00:00,2014-04-26 21:45:00,12.75,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,0.0,,0
177,2014-04-27 09:00:00,2014-04-28 02:00:00,17.0,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,0.0,,0
178,2014-04-28 08:45:00,2014-04-28 15:30:00,6.75,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,0.0,,0
179,2014-04-28 16:45:00,2014-04-28 19:15:00,2.5,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,0.0,,0
180,2014-04-28 21:30:00,2014-04-29 13:30:00,16.0,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,0.0,,0
181,2014-04-29 19:30:00,2014-04-29 22:30:00,3.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
182,2014-04-30 12:00:00,2014-05-01 10:30:00,22.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
183,2014-05-19 03:15:00,2014-05-19 13:15:00,10.0,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,0.0,,0
184,2014-05-19 13:30:00,2014-05-19 21:00:00,7.5,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,0.0,,0
